*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=PCB Led Drivers
*Date=17:07:27
*CreatedBy=Fritzing 0.9.1b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;25.3746;-113.972;0;Bottom;Copper Fill452
2;;;9.4234;-396.001;0;Bottom;Copper Fill272
3;;;12.9032;-195.226;0;Bottom;Copper Fill121
4;;;2.8829;-153.291;0;Bottom;Copper Fill512
5;;;28.2194;-281.51;0;Bottom;Copper Fill68
6;;;28.194;-334.088;0;Bottom;Copper Fill34
7;;;17.1196;-225.224;0;Bottom;Copper Fill101
8;;;26.67;-326.748;0;Bottom;Copper Fill323
9;;;15.367;-336.057;0;Bottom;Copper Fill267
10;;;9.525;-193.969;0;Bottom;Copper Fill233
11;220;THT;8.01565;-209.023;0;Bottom;R54
12;;;11.7348;-352.351;0;Bottom;Copper Fill23
13;;;8.4328;-131.777;0;Bottom;Copper Fill154
14;;;19.9898;-223.319;0;Bottom;Copper Fill384
15;;;21.209;-100.535;0;Bottom;Copper Fill170
16;;;28.6512;-83.8473;0;Bottom;Copper Fill471
17;;;9.525;-147.233;0;Bottom;Copper Fill226
18;;;2.8194;-178.818;0;Bottom;Copper Fill126
19;;;18.542;-395.963;0;Bottom;Copper Fill283
20;;;3.2512;-317.883;0;Bottom;Copper Fill327
21;;;9.525;-68.8486;0;Bottom;Copper Fill208
22;;;28.2194;-246.458;0;Bottom;Copper Fill88
23;;;28.7274;-100.561;0;Bottom;Copper Fill462
24;;;9.5758;-271.134;0;Bottom;Copper Fill242
25;;;2.6797;-116.969;0;Bottom;Copper Fill214
26;;;2.8321;-246.712;0;Bottom;Copper Fill527
27;;;28.702;-130.507;0;Bottom;Copper Fill442
28;;5 mm [THT];26.3066;-190.989;0;Bottom;LED58
29;;DIP (Dual Inline) [THT];11.8256;-202.8;-90;Bottom;IC15
30;;;19.3802;-259.514;0;Bottom;Copper Fill80
31;;;17.9832;-247.855;0;Bottom;Copper Fill367
32;100nF;100 mil [THT, multilayer];3.95165;-196.196;0;Bottom;C26
33;;;7.1374;-187.683;0;Bottom;Copper Fill406
34;;;7.1374;-94.1851;0;Bottom;Copper Fill465
35;;;29.3516;-205.594;0;Bottom;Via102
36;;;15.7734;-406.554;0;Bottom;Copper Fill281
37;;;23.4277;-264.353;0;Bottom;Via145
38;;;22.2758;-200.408;0;Bottom;Copper Fill399
39;;;14.097;-75.8463;0;Bottom;Copper Fill474
40;;5 mm [THT];26.3291;-68.2856;0;Bottom;LED32
41;;DIP (Dual Inline) [THT];11.7629;-264.739;-90;Bottom;IC16
42;220;THT;8.01565;-162.287;0;Bottom;R53
43;1?F;100 mil [THT, tantalum];12.7372;-320.381;0;Bottom;C32
44;;;14.5034;-162.486;0;Bottom;Copper Fill421
45;;;11.3538;-396.001;0;Bottom;Copper Fill273
46;;;6.9088;-132.869;0;Bottom;Copper Fill439
47;220;THT;7.93369;-287.339;0;Bottom;R61
48;;;17.2212;-166.067;0;Bottom;Copper Fill418
49;;;27.4917;-315.407;0;Bottom;Via150
50;;;22.0472;-172.036;0;Bottom;Copper Fill132
51;;;28.321;-53.6721;0;Bottom;Copper Fill198
52;;;28.2702;-392.508;0;Bottom;Copper Fill2
53;;;2.5781;-303.862;0;Bottom;Copper Fill246
54;;5 mm [THT];26.3066;-167.621;0;Bottom;LED55
55;;;12.5984;-389.333;0;Bottom;Copper Fill3
56;;;15.4686;-195.849;0;Bottom;Copper Fill531
57;;;13.1318;-45.8489;0;Bottom;Copper Fill494
58;;;9.525;-209.057;0;Bottom;Copper Fill234
59;;;7.9248;-380.799;0;Bottom;Copper Fill8
60;;;25.1206;-254.18;0;Bottom;Copper Fill364
61;;DIP (Dual Inline) [THT];11.8256;-140.951;-90;Bottom;IC12
62;1?F;100 mil [THT, tantalum];12.9686;-164.319;0;Bottom;C23
63;;;12.7762;-240.388;0;Bottom;Copper Fill374
64;;;12.9286;-255.577;0;Bottom;Copper Fill85
65;;;9.4234;-334.126;0;Bottom;Copper Fill259
66;;;29.8596;-142.475;0;Bottom;Via99
67;;;7.112;-264.721;0;Bottom;Copper Fill358
68;;;8.4074;-178.513;0;Bottom;Copper Fill127
69;;5 mm [THT];26.2246;-272.734;0;Bottom;LED69
70;;5 mm [THT];26.3066;-220.199;0;Bottom;LED46
71;;;25.2984;-67.3119;0;Bottom;Copper Fill480
72;1?F;100 mil [THT, tantalum];12.7597;-226.887;0;Bottom;C29
73;;5 mm [THT];26.3066;-226.041;0;Bottom;LED50
